Fetch          Decode         Execute        Memory         Write Back

0x80000000     0x00000000     0x00000000     0x00000000     0x00000000     
0x80000004     0x80000000     0x00000000     0x00000000     0x00000000     
0x80000008     0x80000004     0x80000000     0x00000000     0x00000000     
0x8000000c     0x80000008     0x80000004     0x80000000     0x00000000     
0x80000010     0x8000000c     0x80000008     0x80000004     0x80000000     
0x80000014     0x80000010     0x8000000c     0x80000008     0x80000004     
0x80000018     0x80000014     0x80000010     0x8000000c     0x80000008     
0x8000001c     0x80000018     0x80000014     0x80000010     0x8000000c     
0x80000020     0x8000001c     0x80000018     0x80000014     0x80000010     
0x80000024     0x80000020     0x8000001c     0x80000018     0x80000014     
0x80000028     0x80000024     0x80000020     0x8000001c     0x80000018     
0x8000002c     0x80000028     0x80000024     0x80000020     0x8000001c     
0x80000030     0x8000002c     0x80000028     0x80000024     0x80000020     
0x80000034     0x80000030     0x8000002c     0x80000028     0x80000024     
0x80000038     0x80000034     0x80000030     0x8000002c     0x80000028     
0x8000003c     0x80000038     0x80000034     0x80000030     0x8000002c     
0x80000040     0x8000003c     0x80000038     0x80000034     0x80000030     
0x80000044     0x80000040     0x8000003c     0x80000038     0x80000034     
0x80000048     0x80000044     0x80000040     0x8000003c     0x80000038     
0x8000004c     0x80000048     0x80000044     0x80000040     0x8000003c     
0x80000050     0x8000004c     0x80000048     0x80000044     0x80000040     
0x80000054     0x80000050     0x8000004c     0x80000048     0x80000044     
0x80000058     0x80000054     0x80000050     0x8000004c     0x80000048     
0x8000005c     0x80000058     0x80000054     0x80000050     0x8000004c     
0x80000060     0x8000005c     0x80000058     0x80000054     0x80000050     
0x80000064     0x80000060     0x8000005c     0x80000058     0x80000054     
0x80000068     0x80000064     0x80000060     0x8000005c     0x80000058     
0x8000006c     0x80000068     0x80000064     0x80000060     0x8000005c     
0x80000070     0x8000006c     0x80000068     0x80000064     0x80000060     
0x80000074     0x80000070     0x8000006c     0x80000068     0x80000064     
STALLED        STALLED        0x80000070     0x8000006c     0x80000068     
0x80000078     0x80000074     STALLED        0x80000070     0x8000006c     
0x8000007c     0x80000078     0x80000074     STALLED        0x80000070     
0x80000080     0x8000007c     0x80000078     0x80000074     STALLED        
0x80000084     0x80000080     0x8000007c     0x80000078     0x80000074     
0x80000088     0x80000084     0x80000080     0x8000007c     0x80000078     
0x8000008c     0x80000088     0x80000084     0x80000080     0x8000007c     
0x80000090     0x8000008c     0x80000088     0x80000084     0x80000080     
0x80000094     0x80000090     0x8000008c     0x80000088     0x80000084     
0x80000098     0x80000094     0x80000090     0x8000008c     0x80000088     
FLUSHED        FLUSHED        0x80000094     0x80000090     0x8000008c     
0x800000b4     FLUSHED        FLUSHED        0x80000094     0x80000090     
0x800000b8     0x800000b4     FLUSHED        FLUSHED        0x80000094     
0x800000bc     0x800000b8     0x800000b4     FLUSHED        FLUSHED        
0x800000c0     0x800000bc     0x800000b8     0x800000b4     FLUSHED        
0x800000c4     0x800000c0     0x800000bc     0x800000b8     0x800000b4     
0x800000c8     0x800000c4     0x800000c0     0x800000bc     0x800000b8     
0x800000cc     0x800000c8     0x800000c4     0x800000c0     0x800000bc     
0x800000d0     0x800000cc     0x800000c8     0x800000c4     0x800000c0     
0x800000d4     0x800000d0     0x800000cc     0x800000c8     0x800000c4     
FLUSHED        FLUSHED        0x800000d0     0x800000cc     0x800000c8     
0x800000f0     FLUSHED        FLUSHED        0x800000d0     0x800000cc     
0x800000f4     0x800000f0     FLUSHED        FLUSHED        0x800000d0     
0x800000f8     0x800000f4     0x800000f0     FLUSHED        FLUSHED        
0x800000fc     0x800000f8     0x800000f4     0x800000f0     FLUSHED        
0x80000100     0x800000fc     0x800000f8     0x800000f4     0x800000f0     
0x80000104     0x80000100     0x800000fc     0x800000f8     0x800000f4     
0x80000108     0x80000104     0x80000100     0x800000fc     0x800000f8     
0x8000010c     0x80000108     0x80000104     0x80000100     0x800000fc     
FLUSHED        FLUSHED        0x80000108     0x80000104     0x80000100     
0x80000128     FLUSHED        FLUSHED        0x80000108     0x80000104     
0x8000012c     0x80000128     FLUSHED        FLUSHED        0x80000108     
0x80000130     0x8000012c     0x80000128     FLUSHED        FLUSHED        
0x80000134     0x80000130     0x8000012c     0x80000128     FLUSHED        
0x80000138     0x80000134     0x80000130     0x8000012c     0x80000128     
0x8000013c     0x80000138     0x80000134     0x80000130     0x8000012c     
0x80000140     0x8000013c     0x80000138     0x80000134     0x80000130     
0x80000144     0x80000140     0x8000013c     0x80000138     0x80000134     
0x80000148     0x80000144     0x80000140     0x8000013c     0x80000138     
0x8000014c     0x80000148     0x80000144     0x80000140     0x8000013c     
0x80000150     0x8000014c     0x80000148     0x80000144     0x80000140     
0x80000154     0x80000150     0x8000014c     0x80000148     0x80000144     
0x80000158     0x80000154     0x80000150     0x8000014c     0x80000148     
0x8000015c     0x80000158     0x80000154     0x80000150     0x8000014c     
0x80000160     0x8000015c     0x80000158     0x80000154     0x80000150     
0x80000164     0x80000160     0x8000015c     0x80000158     0x80000154     
0x80000168     0x80000164     0x80000160     0x8000015c     0x80000158     
0x8000016c     0x80000168     0x80000164     0x80000160     0x8000015c     
0x80000170     0x8000016c     0x80000168     0x80000164     0x80000160     
0x80000174     0x80000170     0x8000016c     0x80000168     0x80000164     
0x80000178     0x80000174     0x80000170     0x8000016c     0x80000168     
0x8000017c     0x80000178     0x80000174     0x80000170     0x8000016c     
STALLED        STALLED        0x80000178     0x80000174     0x80000170     
0x80000180     0x8000017c     STALLED        0x80000178     0x80000174     
0x80000184     0x80000180     0x8000017c     STALLED        0x80000178     
FLUSHED        FLUSHED        0x80000180     0x8000017c     STALLED        
0x8000019c     FLUSHED        FLUSHED        0x80000180     0x8000017c     
0x800001a0     0x8000019c     FLUSHED        FLUSHED        0x80000180     
0x800001a4     0x800001a0     0x8000019c     FLUSHED        FLUSHED        
0x800001a8     0x800001a4     0x800001a0     0x8000019c     FLUSHED        
FLUSHED        0x800001a8     0x800001a4     0x800001a0     0x8000019c     
FLUSHED        FLUSHED        0x800001a8     0x800001a4     0x800001a0     
FLUSHED        FLUSHED        FLUSHED        0x800001a8     0x800001a4     
FLUSHED        FLUSHED        FLUSHED        FLUSHED        0x800001a8     
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
FLUSHED        FLUSHED        FLUSHED        FLUSHED        FLUSHED        
